"","ccode","year","atop_lengthmax","atop_lengthavg"
"232",42,2006,59,58
"233",42,2007,60,60
"234",42,2008,61,60
"235",42,2009,62,62
"236",42,2010,63,62
"237",42,2011,64,64
"238",42,2012,65,64
"239",42,2013,66,66
"240",42,2014,67,66
"241",51,1970,1,1
"242",51,1971,2,2
"243",51,1972,3,3
"244",51,1973,4,4
"245",51,1974,5,5
"246",51,1975,6,6
"247",51,1976,7,7
"248",51,1977,8,8
"249",51,1978,9,9
"250",51,1979,10,10
"251",51,1980,11,11
"252",51,1981,12,12
"253",51,1982,13,13
"254",51,1983,14,14
"255",51,1984,15,15
"256",51,1985,16,16
"257",51,1986,17,17
"258",51,1987,18,18
"259",51,1988,19,19
"260",51,1989,20,20
"261",51,1990,21,21
"262",51,1991,22,22
"263",51,1992,23,23
"264",51,1993,24,24
"265",51,1994,25,25
"266",51,1995,26,26
"267",51,1996,27,27
"268",51,1997,28,28
"269",51,1998,29,29
"270",51,1999,30,30
"271",51,2000,31,31
"272",51,2001,32,32
"273",51,2002,33,33
"274",51,2003,34,34
"275",51,2004,35,35
"276",51,2005,36,36
"277",51,2006,37,37
"278",51,2007,38,38
"279",51,2008,39,39
"280",51,2009,40,40
"281",51,2010,41,41
"282",51,2011,42,42
"283",51,2012,43,43
"284",51,2013,44,44
"285",51,2014,45,45
"286",52,1970,3,3
"287",52,1971,4,4
"288",52,1972,5,5
"289",52,1973,6,6
"290",52,1974,7,7
"291",52,1975,8,8
"292",52,1976,9,9
"293",52,1977,10,10
"294",52,1978,11,11
"295",52,1979,12,12
"296",52,1980,13,13
"297",52,1981,14,14
"298",52,1982,15,15
"299",52,1983,16,16
"300",52,1984,17,17
"301",52,1985,18,18
"302",52,1986,19,19
"303",52,1987,20,20
"304",52,1988,21,21
"305",52,1989,22,22
"306",52,1990,23,23
"307",52,1991,24,24
"308",52,1992,25,25
"309",52,1993,26,26
"310",52,1994,27,27
"311",52,1995,28,28
"312",52,1996,29,29
"313",52,1997,30,30
"314",52,1998,31,31
"315",52,1999,32,32
"316",52,2000,33,33
"317",52,2001,34,34
"318",52,2002,35,35
"319",52,2003,36,36
"320",52,2004,37,37
"321",52,2005,38,38
"322",52,2006,39,39
"323",52,2007,40,40
"324",52,2008,41,41
"325",52,2009,42,42
"326",52,2010,43,43
"327",52,2011,44,44
"328",52,2012,45,45
"329",52,2013,46,46
"330",52,2014,47,47
"331",53,1970,3,3
"332",53,1971,4,4
"333",53,1972,5,5
"334",53,1973,6,6
"335",53,1974,7,7
"336",53,1975,8,8
"337",53,1976,9,9
"338",53,1977,10,10
"339",53,1978,11,11
"340",53,1979,12,12
"341",53,1980,13,13
"342",53,1981,14,14
"343",53,1982,15,15
"344",53,1983,16,16
"345",53,1984,17,17
"346",53,1985,18,18
"347",53,1986,19,19
"348",53,1987,20,20
"349",53,1988,21,21
"350",53,1989,22,22
"351",53,1990,23,23
"352",53,1991,24,24
"353",53,1992,25,25
"354",53,1993,26,26
"355",53,1994,27,27
"356",53,1995,28,28
"357",53,1996,29,29
"358",53,1997,30,16
"359",53,1998,31,16
"360",53,1999,32,18
"361",53,2000,33,18
"362",53,2001,34,20
"363",53,2002,35,20
"364",53,2003,36,22
"365",53,2004,37,22
"366",53,2005,38,24
"367",53,2006,39,24
"368",53,2007,40,26
"369",53,2008,41,26
"370",53,2009,42,28
"371",53,2010,43,28
"372",53,2011,44,30
"373",53,2012,45,30
"374",53,2013,46,32
"375",53,2014,47,32
"376",54,1980,1,1
"377",54,1981,2,2
"378",54,1982,3,2
"379",54,1983,4,3
"380",54,1984,5,4
"381",54,1985,6,5
"382",54,1986,7,6
"383",54,1987,8,7
"384",54,1988,9,8
"385",54,1989,10,9
"386",54,1990,11,10
"387",54,1991,12,11
"388",54,1992,13,12
"389",54,1993,14,13
"390",54,1994,15,14
"391",54,1995,16,15
"392",54,1996,17,16
"393",54,1997,18,12
"394",54,1998,19,13
"395",54,1999,20,14
"396",54,2000,21,15
"397",54,2001,22,16
"398",54,2002,23,17
"399",54,2003,24,18
"400",54,2004,25,19
"401",54,2005,26,20
"402",54,2006,27,21
"403",54,2007,28,22
"404",54,2008,29,23
"405",54,2009,30,24
"406",54,2010,31,25
"407",54,2011,32,26
"408",54,2012,33,27
"409",54,2013,34,28
"410",54,2014,35,29
"411",55,1976,1,1
"412",55,1977,2,2
"413",55,1978,3,3
"414",55,1979,4,4
"415",55,1980,5,5
"416",55,1981,6,6
"417",55,1982,7,4
"418",55,1983,8,5
"419",55,1984,9,6
"420",55,1985,10,7
"421",55,1986,11,8
"422",55,1987,12,9
"423",55,1988,13,10
"424",55,1989,14,11
"425",55,1990,15,12
"426",55,1991,16,13
"427",55,1992,17,14
"428",55,1993,18,15
"429",55,1994,19,16
"430",55,1995,20,17
"431",55,1996,21,18
"432",55,1997,22,13
"433",55,1998,23,14
"434",55,1999,24,15
"435",55,2000,25,16
"436",55,2001,26,17
"437",55,2002,27,18
"438",55,2003,28,19
"439",55,2004,29,20
"440",55,2005,30,21
"441",55,2006,31,22
"442",55,2007,32,23
"443",55,2008,33,24
"444",55,2009,34,25
"445",55,2010,35,26
"446",55,2011,36,27
"447",55,2012,37,28
"448",55,2013,38,29
"449",55,2014,39,30
"450",56,1980,1,1
"451",56,1981,2,2
"452",56,1982,3,2
"453",56,1983,4,3
"454",56,1984,5,4
"455",56,1985,6,5
"456",56,1986,7,6
"457",56,1987,8,7
"458",56,1988,9,8
"459",56,1989,10,9
"460",56,1990,11,10
"461",56,1991,12,11
"462",56,1992,13,12
"463",56,1993,14,13
"464",56,1994,15,14
"465",56,1995,16,15
"466",56,1996,17,16
"467",56,1997,18,12
"468",56,1998,19,13
"469",56,1999,20,14
"470",56,2000,21,15
"471",56,2001,22,16
"472",56,2002,23,17
"473",56,2003,24,18
"474",56,2004,25,19
"475",56,2005,26,20
"476",56,2006,27,21
"477",56,2007,28,22
"478",56,2008,29,23
"479",56,2009,30,24
"480",56,2010,31,25
"481",56,2011,32,26
"482",56,2012,33,27
"483",56,2013,34,28
"484",56,2014,35,29
"485",57,1982,1,1
"486",57,1983,2,2
"487",57,1984,3,3
"488",57,1985,4,4
"489",57,1986,5,5
"490",57,1987,6,6
"491",57,1988,7,7
"492",57,1989,8,8
"493",57,1990,9,9
"494",57,1991,10,10
"495",57,1992,11,11
"496",57,1993,12,12
"497",57,1994,13,13
"498",57,1995,14,14
"499",57,1996,15,15
"500",57,1997,16,11
"501",57,1998,17,12
"502",57,1999,18,13
"503",57,2000,19,14
"504",57,2001,20,15
"505",57,2002,21,16
"506",57,2003,22,17
"507",57,2004,23,18
"508",57,2005,24,19
"509",57,2006,25,20
"510",57,2007,26,21
"511",57,2008,27,22
"512",57,2009,28,23
"513",57,2010,29,24
"514",57,2011,30,25
"515",57,2012,31,26
"516",57,2013,32,27
"517",57,2014,33,28
"518",58,1982,1,1
"519",58,1983,2,2
"520",58,1984,3,3
"521",58,1985,4,4
"522",58,1986,5,5
"523",58,1987,6,6
"524",58,1988,7,7
"525",58,1989,8,8
"526",58,1990,9,9
"527",58,1991,10,10
"528",58,1992,11,11
"529",58,1993,12,12
"530",58,1994,13,13
"531",58,1995,14,14
"532",58,1996,15,15
"533",58,1997,16,11
"534",58,1998,17,12
"535",58,1999,18,13
"536",58,2000,19,14
"537",58,2001,20,15
"538",58,2002,21,16
"539",58,2003,22,17
"540",58,2004,23,18
"541",58,2005,24,19
"542",58,2006,25,20
"543",58,2007,26,21
"544",58,2008,27,22
"545",58,2009,28,23
"546",58,2010,29,24
"547",58,2011,30,25
"548",58,2012,31,26
"549",58,2013,32,27
"550",58,2014,33,28
"551",60,1983,2,2
"552",60,1984,3,3
"553",60,1985,4,2
"554",60,1986,5,4
"555",60,1987,6,4
"556",60,1988,7,6
"557",60,1989,8,6
"558",60,1990,9,8
"559",60,1991,10,8
"560",60,1992,11,10
"561",60,1993,12,10
"562",60,1994,13,12
"563",60,1995,14,12
"564",60,1996,15,14
"565",60,1997,16,10
"566",60,1998,17,11
"567",60,1999,18,12
"568",60,2000,19,13
"569",60,2001,20,14
"570",60,2002,21,15
"571",60,2003,22,16
"572",60,2004,23,17
"573",60,2005,24,18
"574",60,2006,25,19
"575",60,2007,26,20
"576",60,2008,27,21
"577",60,2009,28,22
"578",60,2010,29,23
"579",60,2011,30,24
"580",60,2012,31,25
"581",60,2013,32,26
"582",60,2014,33,27
"583",70,1970,23,22
"584",70,1971,24,24
"585",70,1972,25,24
"586",70,1973,26,26
"587",70,1974,27,26
"588",70,1975,28,28
"589",70,1976,29,28
"590",70,1977,30,30
"591",70,1978,31,30
"592",70,1979,32,32
"593",70,1980,33,32
"594",70,1981,34,34
"595",70,1982,35,34
"596",70,1983,36,36
"597",70,1984,37,36
"598",70,1985,38,38
"599",70,1986,39,38
"600",70,1987,40,40
"601",70,1988,41,40
"602",70,1989,42,42
"603",70,1990,43,42
"604",70,1991,44,44
"605",70,1992,45,44
"606",70,1993,46,46
"607",70,1994,47,46
"608",70,1995,48,48
"609",70,1996,49,48
"610",70,1997,50,50
"611",70,1998,51,50
"612",70,1999,52,52
"613",70,2000,53,52
"614",70,2001,54,54
"615",70,2002,55,54
"616",70,2003,56,56
"617",70,2004,56,56
"618",70,2005,57,57
"619",70,2006,58,58
"620",70,2007,59,59
"621",70,2008,60,60
"622",70,2009,61,61
"623",70,2010,62,62
"624",70,2011,63,63
"625",70,2012,64,64
"626",70,2013,65,65
"627",70,2014,66,66
"628",80,1992,1,1
"629",80,1993,2,2
"630",80,1994,3,3
"631",80,1995,4,4
"632",80,1996,5,5
"633",80,1997,6,6
"634",80,1998,7,7
"635",80,1999,8,8
"636",80,2000,9,9
"637",80,2001,10,10
"638",80,2002,11,11
"639",80,2003,12,12
"640",80,2004,13,7
"641",80,2005,14,8
"642",80,2006,15,9
"643",80,2007,16,10
"644",80,2008,17,11
"645",80,2009,18,12
"646",80,2010,19,13
"647",80,2011,20,14
"648",80,2012,21,15
"649",80,2013,22,16
"650",80,2014,23,17
"651",90,1970,23,22
"652",90,1971,24,24
"653",90,1972,25,24
"654",90,1973,26,26
"655",90,1974,27,26
"656",90,1975,28,28
"657",90,1976,29,28
"658",90,1977,30,30
"659",90,1978,31,30
"660",90,1979,32,32
"661",90,1980,33,32
"662",90,1981,34,34
"663",90,1982,35,34
"664",90,1983,36,36
"665",90,1984,37,36
"666",90,1985,38,38
"667",90,1986,39,38
"668",90,1987,40,40
"669",90,1988,41,40
"670",90,1989,42,42
"671",90,1990,43,42
"672",90,1991,44,44
"673",90,1992,45,44
"674",90,1993,46,46
"675",90,1994,47,46
"676",90,1995,48,48
"677",90,1996,49,33
"678",90,1997,50,34
"679",90,1998,51,35
"680",90,1999,52,36
"681",90,2000,53,37
"682",90,2001,54,38
"683",90,2002,55,39
"684",90,2003,56,40
"685",90,2004,57,41
"686",90,2005,58,42
"687",90,2006,59,43
"688",90,2007,60,44
"689",90,2008,61,45
"690",90,2009,62,46
"691",90,2010,63,47
"692",90,2011,64,48
"693",90,2012,65,49
"694",90,2013,66,50
"695",90,2014,67,51
"696",91,1970,23,22
"697",91,1971,24,24
"698",91,1972,25,24
"699",91,1973,26,26
"700",91,1974,27,26
"701",91,1975,28,28
"702",91,1976,29,28
"703",91,1977,30,30
"704",91,1978,31,30
"705",91,1979,32,32
"706",91,1980,33,32
"707",91,1981,34,34
"708",91,1982,35,34
"709",91,1983,36,36
"710",91,1984,37,36
"711",91,1985,38,38
"712",91,1986,39,38
"713",91,1987,40,40
"714",91,1988,41,40
"715",91,1989,42,42
"716",91,1990,43,42
"717",91,1991,44,44
"718",91,1992,45,44
"719",91,1993,46,46
"720",91,1994,47,46
"721",91,1995,48,48
"722",91,1996,49,33
"723",91,1997,50,34
"724",91,1998,51,35
"725",91,1999,52,36
"726",91,2000,53,37
"727",91,2001,54,38
"728",91,2002,55,39
"729",91,2003,56,40
"730",91,2004,57,41
"731",91,2005,58,42
"732",91,2006,59,43
"733",91,2007,60,44
"734",91,2008,61,45
"735",91,2009,62,46
"736",91,2010,63,47
"737",91,2011,64,48
"738",91,2012,65,49
"739",91,2013,66,50
"740",91,2014,67,51
"741",92,1970,23,22
"742",92,1971,24,24
"743",92,1972,25,24
"744",92,1973,26,26
"745",92,1974,27,26
"746",92,1975,28,28
"747",92,1976,29,28
"748",92,1977,30,30
"749",92,1978,31,30
"750",92,1979,32,32
"751",92,1980,33,32
"752",92,1981,34,34
"753",92,1982,35,34
"754",92,1983,36,36
"755",92,1984,37,36
"756",92,1985,38,38
"757",92,1986,39,38
"758",92,1987,40,40
"759",92,1988,41,40
"760",92,1989,42,42
"761",92,1990,43,42
"762",92,1991,44,44
"763",92,1992,45,44
"764",92,1993,46,46
"765",92,1994,47,46
"766",92,1995,48,48
"767",92,1996,49,33
"768",92,1997,50,34
"769",92,1998,51,35
"770",92,1999,52,36
"771",92,2000,53,37
"772",92,2001,54,38
"773",92,2002,55,39
"774",92,2003,56,40
"775",92,2004,57,41
"776",92,2005,58,42
"777",92,2006,59,43
"778",92,2007,60,44
"779",92,2008,61,45
"780",92,2009,62,46
"781",92,2010,63,47
"782",92,2011,64,48
"783",92,2012,65,49
"784",92,2013,66,50
"785",92,2014,67,51
"786",93,1970,22,22
"787",93,1971,23,23
"788",93,1972,24,24
"789",93,1973,25,25
"790",93,1974,26,26
"791",93,1975,27,27
"792",93,1976,28,28
"793",93,1977,29,29
"794",93,1978,30,30
"795",93,1979,31,31
"796",93,1980,32,32
"797",93,1981,33,33
"798",93,1982,34,34
"799",93,1983,35,35
"800",93,1984,36,36
"801",93,1985,37,37
"802",93,1986,38,38
"803",93,1987,39,39
"804",93,1988,40,40
"805",93,1989,41,41
"806",93,1990,42,42
"807",93,1991,43,43
"808",93,1992,44,44
"809",93,1993,45,45
"810",93,1994,46,46
"811",93,1995,47,47
"812",93,1996,48,32
"813",93,1997,49,33
"814",93,1998,50,34
"815",93,1999,51,35
"816",93,2000,52,36
"817",93,2001,53,37
"818",93,2002,54,38
"819",93,2003,55,39
"820",93,2004,56,40
"821",93,2005,57,41
"822",93,2006,58,42
"823",93,2007,59,43
"824",93,2008,60,44
"825",93,2009,61,45
"826",93,2010,62,46
"827",93,2011,63,47
"828",93,2012,64,48
"829",93,2013,65,49
"830",93,2014,66,42
"831",94,1970,23,22
"832",94,1971,24,24
"833",94,1972,25,24
"834",94,1973,26,26
"835",94,1974,27,26
"836",94,1975,28,28
"837",94,1976,29,28
"838",94,1977,30,30
"839",94,1978,31,30
"840",94,1979,32,32
"841",94,1980,33,32
"842",94,1981,34,34
"843",94,1982,35,34
"844",94,1983,36,36
"845",94,1984,37,36
"846",94,1985,38,38
"847",94,1986,39,38
"848",94,1987,40,40
"849",94,1988,41,40
"850",94,1989,42,42
"851",94,1990,43,42
"852",94,1991,44,44
"853",94,1992,45,44
"854",94,1993,46,46
"855",94,1994,47,46
"856",94,1995,48,48
"857",94,1996,49,48
"858",94,1997,50,50
"859",94,1998,51,50
"860",94,1999,52,52
"861",94,2000,53,52
"862",94,2001,54,54
"863",94,2002,55,54
"864",94,2003,56,56
"865",94,2004,57,56
"866",94,2005,58,58
"867",94,2006,59,58
"868",94,2007,60,60
"869",94,2008,61,60
"870",94,2009,62,62
"871",94,2010,63,62
"872",94,2011,64,64
"873",94,2012,65,64
"874",94,2013,66,66
"875",94,2014,67,66
"876",95,1970,23,22
"877",95,1971,24,24
"878",95,1972,25,24
"879",95,1973,26,26
"880",95,1974,27,26
"881",95,1975,28,28
"882",95,1976,29,28
"883",95,1977,30,30
"884",95,1978,31,30
"885",95,1979,32,32
"886",95,1980,33,32
"887",95,1981,34,34
"888",95,1982,35,34
"889",95,1983,36,36
"890",95,1984,37,36
"891",95,1985,38,38
"892",95,1986,39,38
"893",95,1987,40,40
"894",95,1988,41,40
"895",95,1989,42,42
"896",95,1990,43,42
"897",95,1991,44,44
"898",95,1992,45,44
"899",95,1993,46,46
"900",95,1994,47,46
"901",95,1995,48,48
"902",95,1996,49,48
"903",95,1997,50,50
"904",95,1998,51,50
"905",95,1999,52,52
"906",95,2000,53,52
"907",95,2001,54,54
"908",95,2002,55,54
"909",95,2003,56,56
"910",95,2004,57,56
"911",95,2005,58,58
"912",95,2006,59,58
"913",95,2007,60,60
"914",95,2008,61,60
"915",95,2009,62,62
"916",95,2010,63,62
"917",95,2011,64,64
"918",95,2012,65,64
"919",95,2013,66,66
"920",95,2014,67,66
"921",100,1970,23,22
"922",100,1971,24,24
"923",100,1972,25,24
"924",100,1973,26,26
"925",100,1974,27,26
"926",100,1975,28,28
"927",100,1976,29,28
"928",100,1977,30,30
"929",100,1978,31,30
"930",100,1979,32,32
"931",100,1980,33,32
"932",100,1981,34,34
"933",100,1982,35,34
"934",100,1983,36,36
"935",100,1984,37,36
"936",100,1985,38,38
"937",100,1986,39,38
"938",100,1987,40,40
"939",100,1988,41,40
"940",100,1989,42,42
"941",100,1990,43,42
"942",100,1991,44,44
"943",100,1992,45,44
"944",100,1993,46,46
"945",100,1994,47,46
"946",100,1995,48,48
"947",100,1996,49,48
"948",100,1997,50,50
