"dispnum","dispnum4","ccode","stabb","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
19,-9,337,"TUS",1,3,1848,9,8,1848,0,0,0,-9,2,-9,20,5,0,"gml-2.1"
20,-9,365,"RUS",-9,11,1945,5,4,1946,1,1,2,-9,0,0,14,4,1,"gml-2.1"
20,-9,630,"IRN",-9,11,1945,5,4,1946,0,0,0,-9,0,0,0,1,1,"gml-2.1"
21,-9,300,"AUH",21,11,1912,3,12,1912,1,1,2,-9,0,0,10,3,1,"gml-2.1"
21,-9,345,"YUG",21,11,1912,3,12,1912,0,1,1,-9,0,0,0,1,1,"gml-2.1"
21,-9,365,"RUS",21,11,1912,3,12,1912,0,1,2,-9,0,0,10,3,1,"gml-2.1"
22,-9,365,"RUS",15,6,1940,17,6,1940,1,1,1,-9,-9,-9,16,4,1,"gml-2.1"
22,-9,367,"LAT",15,6,1940,17,6,1940,0,0,0,-9,-9,-9,0,1,1,"gml-2.1"
23,-9,365,"RUS",19,9,1939,28,9,1939,1,1,2,-9,0,0,13,4,1,"gml-2.1"
23,-9,366,"EST",19,9,1939,28,9,1939,0,0,0,-9,0,0,0,1,1,"gml-2.1"
25,-9,200,"UKG",29,10,1831,29,10,1831,0,0,0,-9,0,0,7,3,0,"gml-2.1"
25,-9,210,"NTH",2,8,1831,-9,12,1832,1,1,1,-9,-9,-9,17,4,1,"gml-2.1"
25,-9,211,"BEL",2,8,1831,-9,12,1832,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
