"dispnum3","dispnum4","stday","stmon","styear","endday","endmon","endyear","outcome","settle","fatality","fatalpre","maxdur","mindur","hiact","hostlev","recip","numa","numb","link1","link2","link3","ongo2010","version"
2350,-9,30,4,1984,30,4,1984,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2352,-9,10,7,1985,10,7,1985,5,3,0,0,1,1,12,"3",0,1,1,"0","0",0,0,"gml-2.1"
2353,-9,28,12,1985,23,5,1988,5,3,-9,-9,878,878,16,"4",0,1,2,"0","0",0,0,"gml-2.1"
2354,-9,31,1,1986,1,2,1986,5,3,0,0,2,2,11,"3",0,1,1,"0","0",0,0,"gml-2.1"
2357,-9,24,6,1978,17,3,1979,6,1,1,-9,267,267,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2360,-9,-9,4,1965,24,8,1965,6,1,0,0,146,117,16,"4",1,2,1,"0","0",0,0,"gml-2.1"
2363,-9,-9,7,1918,15,2,1920,2,3,3,-9,595,565,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2364,-9,-9,3,1920,27,6,1920,3,3,-9,-9,119,89,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2367,-9,30,1,1854,26,11,1854,3,2,0,0,301,301,15,"4",1,1,3,"0","0",0,0,"gml-2.1"
2369,-9,21,4,1887,28,4,1887,7,1,0,0,8,8,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2371,-9,1,3,1946,21,5,1947,5,3,0,0,447,447,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2372,-9,-9,7,1952,23,7,1952,5,3,1,-9,23,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2373,-9,26,11,1969,13,1,1970,5,3,1,18,49,49,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2374,-9,8,2,1975,28,4,1975,5,3,0,0,80,80,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2540,-9,18,8,1985,22,8,1985,5,3,0,0,5,5,8,"3",1,1,1,"0","0",0,0,"gml-2.1"
2541,-9,7,3,1984,8,3,1984,5,3,0,0,2,2,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2543,-9,23,7,1985,28,11,1985,5,3,0,0,129,129,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2544,-9,18,8,1985,18,8,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2545,-9,9,7,1985,12,7,1985,5,3,0,0,4,4,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2546,-9,31,5,1985,5,6,1985,5,3,1,-9,6,6,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2547,-9,29,5,1985,29,5,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2548,-9,24,3,1985,24,3,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2549,-9,24,3,1985,24,3,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2550,-9,22,3,1985,28,3,1985,7,1,0,0,7,7,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2551,-9,19,3,1985,19,3,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2552,-9,15,3,1985,25,3,1985,5,3,0,0,11,11,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2553,-9,18,2,1985,20,2,1985,5,3,0,0,3,3,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2554,-9,7,12,1984,18,2,1985,5,3,0,0,74,74,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2555,-9,19,2,1985,19,2,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2557,-9,22,9,1985,31,12,1985,5,3,0,0,101,101,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2559,-9,29,9,1985,29,9,1985,5,3,0,0,1,1,16,"4",0,1,2,"0","0",0,0,"gml-2.1"
2560,-9,18,10,1985,18,10,1985,5,3,0,0,1,1,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2563,-9,1,10,1985,1,10,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2565,-9,26,8,1986,26,8,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2566,-9,27,8,1986,27,8,1986,5,3,0,0,1,1,1,"2",0,1,1,"0","0",0,0,"gml-2.1"
2570,-9,19,5,1986,19,5,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2571,-9,19,5,1986,19,5,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2572,-9,26,4,1986,15,6,1986,6,1,0,0,51,51,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2573,-9,16,4,1986,16,4,1986,5,3,0,0,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2574,-9,5,4,1986,1,5,1986,5,3,0,0,27,27,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2575,-9,2,3,1986,2,3,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2578,-9,12,1,1986,12,1,1986,5,3,0,0,1,1,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2579,-9,28,5,1986,28,5,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2580,-9,19,5,1986,19,5,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2583,-9,25,12,1985,17,1,1986,6,1,2,-9,24,24,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2584,-9,8,12,1985,2,10,1986,5,3,0,0,299,299,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2585,-9,5,11,1985,19,1,1986,5,3,0,0,76,76,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2587,-9,29,8,1986,29,8,1986,5,3,0,0,1,1,2,"2",0,1,5,"0","0",0,0,"gml-2.1"
2588,-9,2,9,1986,3,9,1986,5,3,0,0,2,2,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2589,-9,15,9,1986,15,9,1986,5,3,0,0,1,1,2,"2",0,3,1,"0","0",0,0,"gml-2.1"
2590,-9,27,4,1983,27,4,1983,5,3,0,0,1,1,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2593,-9,18,11,1986,18,11,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2594,-9,22,10,1986,22,10,1986,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2596,-9,23,9,1986,26,11,1986,5,3,0,0,65,65,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2597,-9,18,9,1986,22,9,1986,5,3,0,0,5,5,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2598,-9,20,3,1986,21,3,1986,5,3,0,0,2,2,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2599,-9,19,8,1986,15,12,1986,5,1,0,0,119,119,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2600,-9,10,7,1985,10,7,1985,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2601,-9,20,7,1986,23,7,1986,7,1,0,0,4,4,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2602,-9,21,6,1978,21,6,1978,5,3,1,-9,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2603,-9,13,11,1918,12,7,1920,2,1,-9,-9,608,608,16,"4",1,1,2,"0","0",0,0,"gml-2.1"
2604,-9,3,1,1919,1,2,1920,2,1,-9,-9,395,395,16,"4",1,1,4,"0","0",0,0,"gml-2.1"
2605,-9,22,11,1918,3,1,1920,2,2,6,-9,408,408,16,"4",1,1,2,"0","0",0,0,"gml-2.1"
2610,-9,21,11,1960,22,11,1960,1,3,1,-9,2,2,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2612,-9,31,7,1960,31,7,1960,4,3,0,0,1,1,1,"2",0,1,1,"0","0",0,0,"gml-2.1"
2615,-9,11,10,1972,11,10,1972,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2616,-9,14,1,1971,23,3,1971,6,1,0,0,69,69,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2619,-9,29,9,1971,29,9,1971,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2622,-9,-9,1,1971,20,4,1971,5,3,0,0,110,80,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2623,-9,8,8,1963,22,11,1963,5,3,0,0,107,107,8,"3",0,1,1,"0","0",0,0,"gml-2.1"
2625,-9,-9,4,1949,26,7,1949,6,1,0,0,117,88,12,"3",1,1,1,"0","0",0,0,"gml-2.1"
2626,-9,31,10,1952,2,11,1952,5,1,0,0,3,3,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2627,-9,17,2,1956,26,3,1956,5,1,2,-9,39,39,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2629,-9,6,1,1962,6,1,1962,5,3,0,0,1,1,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2630,-9,15,9,1963,19,9,1963,5,3,0,0,5,5,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2631,-9,25,1,1965,1,7,1965,5,1,4,-9,158,158,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2632,-9,29,4,1966,14,9,1966,6,1,0,0,139,139,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2633,-9,22,3,1969,30,3,1969,5,1,0,0,9,9,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2634,-9,30,10,1969,17,3,1970,5,1,0,0,139,139,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2635,-9,19,12,1969,20,12,1969,5,1,0,0,2,2,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2638,-9,5,5,1972,5,5,1972,6,1,3,-9,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2639,-9,7,7,1981,12,7,1981,5,1,1,-9,6,6,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2640,-9,10,9,1982,10,9,1982,5,3,0,0,1,1,8,"3",0,1,1,"0","0",0,0,"gml-2.1"
2641,-9,16,10,1983,-9,1,1984,5,1,1,-9,108,78,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2642,-9,17,4,1984,6,10,1985,5,3,2,-9,538,538,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2644,-9,-9,6,1986,4,2,1987,5,1,1,-9,249,220,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2645,-9,24,4,1915,31,3,1918,8,3,0,0,1073,1073,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2646,-9,19,7,1918,19,7,1918,9,4,0,0,1,1,18,"4",0,1,1,"0","0",0,0,"gml-2.1"
2647,-9,22,4,1918,22,4,1918,9,4,0,0,1,1,18,"4",0,1,2,"0","0",0,0,"gml-2.1"
2648,-9,11,1,1916,11,7,1916,5,3,0,0,183,183,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
2649,-9,9,2,1917,14,8,1917,9,3,0,0,187,187,21,"5",0,1,2,"0","0",0,0,"gml-2.1"
2683,-9,26,3,1887,23,4,1887,4,1,0,0,29,29,1,"2",0,1,1,"0","0",0,0,"gml-2.1"
2700,-9,-9,7,1919,25,10,1919,3,3,0,0,117,87,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2704,-9,1,2,1946,3,5,1946,2,3,0,0,92,92,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
2707,-9,10,7,1964,10,7,1965,5,3,0,0,366,366,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2708,-9,-9,12,1965,15,1,1966,5,3,0,0,46,16,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2710,-9,10,8,1967,13,8,1967,7,3,0,0,4,4,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2711,-9,-9,8,1968,-9,9,1968,5,3,0,0,61,2,11,"3",1,1,1,"0","0",0,0,"gml-2.1"
2713,-9,-9,11,1974,-9,11,1974,5,3,1,-9,30,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2714,-9,-9,7,1977,5,8,1977,5,3,0,0,36,6,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2715,-9,-9,3,1978,9,5,1978,5,3,0,0,70,40,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2716,-9,17,2,1979,-9,2,1980,5,3,1,-9,378,350,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2717,-9,5,10,1980,5,10,1980,5,3,1,-9,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2718,-9,12,7,1986,12,7,1986,5,3,1,-9,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2721,-9,12,7,1871,12,1,1872,5,3,0,0,185,185,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
2724,-9,4,3,1936,2,4,1936,6,1,1,-9,30,30,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2725,-9,10,8,1945,10,8,1945,9,4,0,0,1,1,18,"4",0,1,1,"0","0",0,0,"gml-2.1"
2727,-9,20,5,1978,2,10,1979,5,3,0,0,501,501,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2728,-9,12,11,1984,23,11,1984,5,3,0,0,12,12,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2729,-9,3,4,1963,13,10,1963,5,3,0,0,194,194,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2730,-9,18,10,1962,18,11,1962,5,3,1,1,32,32,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2731,-9,-9,4,1960,-9,4,1960,5,3,0,0,30,1,14,"4",1,1,1,"0","0",0,0,"gml-2.1"
2732,-9,-9,6,1959,-9,6,1959,6,1,1,-9,30,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2733,-9,2,3,1916,2,3,1916,3,3,0,0,1,1,1,"2",0,1,1,"0","0",0,0,"gml-2.1"
2734,-9,23,11,1987,4,2,1988,5,3,0,0,74,74,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2735,-9,2,9,1987,2,9,1987,5,3,0,0,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2736,-9,29,11,1987,29,11,1987,5,3,0,0,1,1,8,"3",0,1,1,"0","0",0,0,"gml-2.1"
2738,-9,-9,7,1987,-9,9,1987,5,3,0,0,92,33,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2739,-9,17,5,1987,18,5,1987,3,1,2,-9,2,2,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2740,-9,27,1,1987,24,12,1988,5,3,1,5,698,698,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2741,-9,23,9,1987,8,4,1988,5,3,0,0,199,199,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2742,-9,8,12,1986,5,11,1987,7,3,0,0,333,333,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2743,-9,6,8,1978,8,8,1978,5,3,0,0,3,3,8,"3",0,1,1,"0","0",0,0,"gml-2.1"
2744,-9,1,8,1961,1,8,1961,1,2,0,0,1,1,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
2745,-9,16,10,1988,22,10,1988,5,3,0,0,7,7,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2746,-9,5,4,1988,17,8,1988,7,3,0,0,135,135,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2747,-9,5,8,1988,6,10,1988,5,3,0,0,63,63,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2748,-9,10,11,1988,10,11,1988,8,4,0,0,1,1,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2749,-9,31,1,1988,14,3,1988,1,2,2,-9,44,44,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2750,-9,16,4,1988,6,12,1988,5,3,0,0,235,235,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2751,-9,18,5,1988,18,5,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2752,-9,19,4,1988,19,4,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2753,-9,10,10,1988,27,10,1988,5,3,0,0,18,18,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2754,-9,28,3,1988,21,6,1988,5,3,0,0,86,86,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2755,-9,14,2,1988,14,2,1988,5,3,0,0,1,1,1,"2",0,1,1,"0","0",0,0,"gml-2.1"
2757,-9,-9,10,1988,7,10,1988,5,3,0,0,7,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2758,-9,14,5,1988,14,5,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2759,-9,7,7,1988,7,7,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2760,-9,11,12,1988,11,12,1988,5,3,1,1,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2762,-9,28,5,1988,28,5,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2763,-9,11,6,1988,11,6,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2764,-9,14,5,1988,14,5,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2765,-9,21,3,1988,21,3,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2767,-9,14,5,1987,14,5,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2768,-9,8,8,1988,14,8,1988,5,1,0,0,7,7,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2769,-9,30,1,1988,30,1,1988,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2770,-9,9,9,1988,11,10,1988,5,3,0,0,33,33,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2771,-9,29,9,1988,29,9,1988,5,3,0,0,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2772,-9,19,4,1987,16,11,1987,5,3,0,0,212,212,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2773,-9,14,4,1988,6,5,1988,7,1,0,0,23,23,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2774,-9,12,2,1988,12,2,1988,5,3,0,0,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2775,-9,2,1,1989,2,1,1989,5,3,0,0,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2776,-9,-9,5,1987,19,2,1988,6,1,3,-9,295,265,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2777,-9,12,4,1987,4,5,1987,7,1,0,0,23,23,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2778,-9,4,6,1987,15,6,1987,4,1,0,0,12,12,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2779,-9,1,6,1987,25,6,1987,5,3,1,7,25,25,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2780,-9,15,4,1987,6,6,1987,5,3,0,0,53,53,14,"4",1,1,1,"0","0",0,0,"gml-2.1"
2782,-9,7,3,1987,28,9,1987,5,3,0,0,206,206,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2783,-9,11,10,1987,11,10,1987,5,3,1,10,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2784,-9,1,10,1987,1,10,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2785,-9,18,11,1987,18,11,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2786,-9,28,7,1987,28,7,1987,5,3,0,0,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2788,-9,23,9,1987,23,9,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2789,-9,6,12,1987,14,6,1988,5,3,0,0,192,192,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2790,-9,17,12,1987,17,12,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2791,-9,1,10,1987,1,10,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2792,-9,2,10,1987,27,3,1988,5,3,0,0,178,178,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2793,-9,2,9,1987,30,9,1987,5,3,0,0,29,29,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2794,-9,1,9,1987,25,12,1987,5,3,0,0,116,116,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2796,-9,21,5,1987,21,5,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2797,-9,11,5,1987,27,5,1988,5,3,1,3,383,383,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2798,-9,2,8,1987,3,10,1987,5,3,0,0,63,63,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2799,-9,-9,6,1987,27,3,1988,5,3,1,-9,301,272,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2800,-9,24,12,1987,29,12,1987,7,1,0,0,6,6,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2801,-9,29,5,1987,30,5,1987,5,3,0,0,2,2,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2802,-9,20,7,1987,12,8,1987,5,3,0,0,24,24,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2803,-9,29,11,1986,-9,12,1986,5,3,0,0,33,3,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2804,-9,20,10,1987,28,12,1987,6,1,2,-9,70,70,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2805,-9,-9,6,1987,3,6,1987,5,3,1,1,3,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2806,-9,15,1,1987,15,1,1987,5,3,1,-9,1,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2807,-9,-9,5,1987,-9,5,1987,5,3,0,0,31,1,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
2808,-9,25,6,1987,18,8,1987,5,3,0,0,55,55,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2809,-9,1,4,1987,18,4,1987,5,3,0,0,18,18,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2810,-9,9,4,1987,25,4,1987,5,3,0,0,17,17,16,"4",0,1,2,"0","0",0,0,"gml-2.1"
2811,-9,29,4,1987,13,5,1987,5,3,0,0,15,15,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2812,-9,9,8,1987,6,9,1987,5,3,0,0,29,29,10,"3",1,1,1,"0","0",0,0,"gml-2.1"
2815,-9,20,6,1987,20,6,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2816,-9,15,6,1987,15,6,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2817,-9,1,9,1987,22,3,1988,5,3,0,0,204,204,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2818,-9,10,9,1987,12,12,1987,5,3,0,0,94,94,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2819,-9,7,7,1987,15,12,1987,5,3,0,0,162,162,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2820,-9,20,8,1987,20,8,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2821,-9,3,9,1987,4,9,1987,5,3,0,0,2,2,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2822,-9,1,9,1987,1,9,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2823,-9,30,6,1987,20,1,1988,5,3,0,0,205,205,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2824,-9,16,12,1987,14,5,1988,5,3,0,0,151,151,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2825,-9,27,6,1987,27,6,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2826,-9,7,5,1987,7,5,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2827,-9,13,9,1987,13,9,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2828,-9,23,11,1987,23,11,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2832,-9,18,5,1987,4,8,1988,5,3,0,0,445,445,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2833,-9,9,12,1987,9,12,1987,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2834,-9,6,12,1987,12,2,1988,5,3,0,0,69,69,16,"4",1,1,2,"0","0",0,0,"gml-2.1"
2835,-9,-9,8,1878,-9,8,1878,5,3,0,0,31,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2838,-9,13,2,1959,14,2,1959,5,3,0,0,2,2,8,"3",0,1,1,"0","0",0,0,"gml-2.1"
2840,-9,17,1,1948,17,7,1948,5,3,0,0,183,183,14,"4",1,1,2,"0","0",0,0,"gml-2.1"
2841,-9,13,6,1959,13,6,1959,5,3,0,0,1,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2847,-9,24,3,1955,19,11,1957,7,3,0,0,972,972,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2849,-9,29,7,1957,29,7,1957,5,3,0,0,1,1,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2850,-9,-9,12,1956,19,3,1957,5,3,0,0,109,79,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
2852,-9,4,6,1958,7,6,1958,7,3,0,0,4,4,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2853,-9,-9,5,1958,7,5,1958,5,3,0,0,7,1,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2854,-9,7,6,1958,19,7,1958,7,1,0,0,43,43,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2855,-9,29,5,1958,30,6,1958,7,3,0,0,33,33,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2857,-9,23,12,1957,9,1,1958,7,3,0,0,18,18,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
2858,-9,31,12,1957,4,1,1958,7,3,0,0,5,5,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2859,-9,20,3,1959,10,5,1959,7,3,0,0,52,52,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2860,-9,28,3,1959,28,3,1959,5,3,0,0,1,1,1,"2",0,1,1,"0","0",0,0,"gml-2.1"
2861,-9,28,1,1959,15,1,1960,7,3,0,0,353,353,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2862,-9,27,2,1959,27,2,1959,5,3,0,0,1,1,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2863,-9,27,2,1959,7,3,1959,7,3,0,0,9,9,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
2865,-9,27,8,1958,31,5,1959,5,3,0,0,278,278,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2869,-9,10,4,1959,12,4,1959,7,3,0,0,3,3,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
2870,-9,19,3,1959,20,3,1959,7,3,0,0,2,2,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
2871,-9,-9,1,1959,15,7,1959,5,3,0,0,196,166,7,"3",1,1,1,"0","0",0,0,"gml-2.1"
2873,-9,22,6,1960,9,9,1960,5,3,0,0,80,80,15,"4",0,1,1,"0","0",0,0,"gml-2.1"
