dispnum	version	ccode	corr.ccode	change
185	2.1	290	NA	STDAY changed to 19. HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
185	2.1	365	NA	STDAY changed to 19. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
191	2.1	2	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
191	2.1	255	NA	HIACT changed to 16 Attack [4].
197	2.1	200	NA	ORIG changed to 1.
197	2.1	220	NA	ORIG changed to 1.
197	2.1	325	NA	ORIG changed to 1.
197	2.1	740	NA	ORIG changed to 0.
199	2.1	710	NA	STMON changed to 10. STDAY changed to 24. ENDYEAR changed to 1963. ENDMON changed to 12. ENDDAY changed to 25.
199	2.1	750	NA	STMON changed to 10. STDAY changed to 24. ENDYEAR changed to 1963. ENDMON changed to 12. ENDDAY changed to 25.
212	2.1	200	NA	ENDMON changed to 2.
212	2.1	220	NA	ENDMON changed to 2.
212	2.1	325	NA	ENDMON changed to 2.
228	2.1	220	NA	SIDEA changed to 1.
228	2.1	640	NA	SIDEA changed to 0.
231	2.1	300	NA	ENDMON changed back to 5. ENDDAY changed back to 25.
231	2.1	337	NA	ENDMON changed back to 5. ENDDAY changed back to 25.
236	2.1	200	NA	ENDDAY changed to 8.
236	2.1	220	NA	STDAY changed to 7. ENDDAY changed to 8. ORIG changed to 0.
236	2.1	365	NA	ENDDAY changed to 8.
236	2.1	640	NA	ENDDAY changed to 8. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
246	2.1	2	NA	HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
246	2.1	40	NA	HIACT changed to 17 Clash [4].
252	2.1	2	NA	STMON changed to 3. STDAY changed to -9.
252	2.1	365	NA	STYEAR changed to 1946. STMON changed to 1. STDAY changed to 16.
252	2.1	640	NA	STYEAR changed to 1946. STMON changed to 1. STDAY changed to 16.
253	2.1	385	NA	STDAY changed to 9. ENDDAY changed to 9.
253	2.1	640	NA	STDAY changed to 9. ENDDAY changed to 9.
253	2.1	740	NA	STDAY changed to 9. ENDDAY changed to 9.
253	2.1	770	NA	STDAY changed to 9. ENDDAY changed to 9.
260	2.1	710	NA	STDAY changed to 23.
260	2.1	740	NA	STDAY changed to 23.
266	2.1	220	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 5.
301	2.1	2	NA	ENDYEAR changed to 1836. ENDMON changed to 2. ENDDAY changed to 15.
301	2.1	220	NA	ENDYEAR changed to 1836. ENDMON changed to 2. ENDDAY changed to 15.
304	2.1	300	NA	ENDMON changed to 12. ENDDAY changed to 2.
304	2.1	365	NA	ENDDAY changed to 2.
313	2.1	200	NA	ENDYEAR changed to 1911. ENDMON changed to 1. ENDDAY changed to 3.
313	2.1	630	NA	ENDYEAR changed to 1911. ENDMON changed to 1. ENDDAY changed to 3.
317	2.1	355	NA	STDAY changed to 6.
317	2.1	365	NA	STDAY changed to 6.
317	2.1	640	NA	STYEAR changed to 1912. STMON changed to 11. STDAY changed to 6.
320	2.1	255	NA	STMON changed to 12. STDAY changed to 29.
320	2.1	300	NA	HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
324	2.1	0	220	France (220) added to MID#324. STYEAR changed to 1915. STMON changed to 10. STDAY changed to 3. ENDYEAR changed to 1915. ENDMON changed to 10. ENDDAY changed to 3. FATALITY changed to 0 None. FATALPRE changed to 0. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force. REVSTATE changed to 0. SIDEA changed to 1.
324	2.1	255	NA	STYEAR changed to 1915. STMON changed to 3. STDAY changed to 7. ENDYEAR changed to 1916. ENDMON changed to 11. ENDDAY changed to 26. HIACT changed to 14 Occupation of territory [4]. HOSTLEV changed to 4 Use of force. ORIG changed to 1.
324	2.1	350	NA	STMON changed back to 3. STDAY changed back to 7. ENDYEAR changed to 1916. ENDMON changed to 11. ENDDAY changed to 26.
324	2.1	355	NA	STMON changed back to 3. STDAY changed back to 7. ENDYEAR changed to 1916. ENDMON changed to 11. ENDDAY changed to 26. HIACT changed to 15 Seizure [4].
324	2.1	640	NA	STYEAR changed to 1915. STMON changed to 11. STDAY changed to -9. ENDYEAR changed to 1916. ENDMON changed to 11. ENDDAY changed to 26.
337	2.1	200	NA	STYEAR changed to 1939.
337	2.1	220	NA	STYEAR changed to 1939.
337	2.1	740	NA	STYEAR changed to 1939.
339	2.1	2	NA	STMON changed to 3. STDAY changed to 28.
339	2.1	740	NA	STMON changed to 3. STDAY changed to 28.
345	2.1	2	NA	ENDDAY changed to 24. HIACT changed to 8 Alert [3].
345	2.1	365	NA	ENDDAY changed to 24. HIACT changed to 8 Alert [3]. HOSTLEV changed to 3 Display of force.
345	2.1	666	NA	ENDDAY changed to 24. HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
349	2.1	365	NA	STYEAR changed to 1968. STMON changed to 12. STDAY changed to 27. ENDDAY changed to -9.
349	2.1	710	NA	STYEAR changed to 1968. STMON changed to 12. STDAY changed to 27. ENDDAY changed to -9.
352	2.1	710	NA	ENDMON changed to 10. ENDDAY changed to -9.
352	2.1	775	NA	ENDMON changed to 10. ENDDAY changed to -9.
353	2.1	2	NA	STDAY changed to 7.
353	2.1	365	NA	STDAY changed to 7. ORIG changed to 1.
353	2.1	651	0	Egypt (651) dropped from MID#353.
353	2.1	652	0	Syria (652) dropped from MID#353.
353	2.1	666	0	Israel (666) dropped from MID#353.
356	2.1	2	NA	HIACT changed to 17 Clash [4].
356	2.1	811	NA	HIACT changed to 17 Clash [4].
358	2.1	750	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
364	2.1	365	NA	ENDMON changed to 3. ENDDAY changed to 17.
364	2.1	710	NA	ENDMON changed to 3. ENDDAY changed to 17.
367	2.1	220	NA	ENDMON changed to 10. ENDDAY changed to 30. FATALITY changed to -9 Missing. FATALPRE changed to -9.
367	2.1	640	NA	ENDMON changed to 10. ENDDAY changed to 30. FATALITY changed to -9 Missing. FATALPRE changed to -9. HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
368	2.1	200	NA	STMON changed to 11. STDAY changed to -9.
368	2.1	210	NA	STMON changed to 11. STDAY changed to 6. ORIG changed to .
368	2.1	220	NA	STMON changed to 11. STDAY changed to 6. ORIG changed to 0.
368	2.1	255	NA	Germany (255) restored to MID#368. ENDYEAR changed to 1832. ENDMON changed to 9. ENDDAY changed to 18.
370	2.1	220	NA	STDAY changed to -9.
370	2.1	255	NA	STDAY changed to -9.
371	2.1	160	NA	STMON changed to 3. ENDDAY changed to 12.
371	2.1	200	NA	STMON changed to 3. ENDDAY changed to 12.
371	2.1	220	NA	STMON changed to 3. ENDMON changed to 3. ENDDAY changed to 12.
373	2.1	2	NA	ENDDAY changed to 15.
373	2.1	200	NA	ENDDAY changed to 15.
377	2.1	220	NA	ENDMON changed to 7.
377	2.1	640	NA	ENDMON changed to 7.
379	2.1	220	NA	STDAY changed to 17.
379	2.1	710	NA	STDAY changed to 17.
394	2.1	325	NA	STMON changed to 10. STDAY changed to 30. ENDMON changed to 5. ENDDAY changed to 29.
394	2.1	339	NA	STMON changed to 10. STDAY changed to 30. ENDMON changed to 5. ENDDAY changed to 29.
396	2.1	0	300	STDAY changed to 27.
396	2.1	255	NA	STDAY changed to 27.
396	2.1	360	NA	STDAY changed to 27.
397	2.1	200	NA	ENDDAY changed to 16.
397	2.1	345	NA	STMON changed to 10. STDAY changed to 8. ENDDAY changed to 16.
397	2.1	355	NA	STMON changed to 10. STDAY changed to 8. ENDDAY changed to 16.
397	2.1	365	NA	ENDDAY changed to 16.
398	2.1	2	NA	STMON changed to 5. STDAY changed to 1. ENDMON changed to 12. ENDDAY changed to 5.
398	2.1	255	NA	STMON changed to 5. STDAY changed to 1. ENDMON changed to 12. ENDDAY changed to 5.
400	2.1	140	NA	ENDYEAR changed to 1917. ENDMON changed to 10. ENDDAY changed to 26.
400	2.1	255	NA	ENDYEAR changed to 1917. ENDMON changed to 10. ENDDAY changed to 26.
409	2.1	365	NA	STDAY changed to 19. ENDDAY changed to 30.
409	2.1	740	NA	STDAY changed to 19. ENDDAY changed to 30.
414	2.1	2	NA	STMON changed to 3. STDAY changed to 29.
414	2.1	255	NA	STMON changed to 3. STDAY changed to 29.
420	2.1	0	325	ENDDAY changed to 31.
420	2.1	0	900	ENDDAY changed to 31.
420	2.1	0	920	ENDDAY changed to 31.
420	2.1	200	NA	ENDDAY changed to 31.
420	2.1	255	NA	ENDDAY changed to 31.
420	2.1	645	NA	ENDDAY changed to 31.
502	2.1	240	NA	ENDDAY changed to 28.
502	2.1	255	NA	ENDDAY changed to 28.
502	2.1	269	NA	ENDDAY changed to 28.
504	2.1	365	NA	STMON changed to 6. STDAY changed to 14.
504	2.1	368	NA	STMON changed to 6. STDAY changed to 14.
518	2.1	200	NA	ORIG changed to 1.
518	2.1	365	NA	STDAY changed to 14. ORIG changed to 0.
521	2.1	255	NA	ENDYEAR changed to 1917. ENDMON changed to 7. ENDDAY changed to 22.
521	2.1	300	NA	ENDYEAR changed to 1917. ENDDAY changed to 22.
521	2.1	800	NA	ENDYEAR changed to 1917. ENDMON changed to 7. ENDDAY changed to 22.
606	2.1	310	NA	STDAY changed to 23.
606	2.1	365	NA	STDAY changed to 23.
610	2.1	200	NA	STDAY changed to 21. HIACT changed to 17 Clash [4].
610	2.1	678	NA	STDAY changed to 21. FATALITY changed to 2 26-100 deaths. HIACT changed to 17 Clash [4].
612	2.1	365	NA	ENDMON changed to 10. ENDDAY changed to 23.
612	2.1	640	NA	ENDMON changed to 10. ENDDAY changed to 23.
623	2.1	710	NA	STMON changed to 8.
623	2.1	750	NA	STMON changed to 8.
632	2.1	40	NA	ENDYEAR changed to 1917.
632	2.1	255	NA	ENDYEAR changed to 1917.
633	2.1	710	NA	HIACT changed to 17 Clash [4].
633	2.1	713	NA	HIACT changed to 17 Clash [4].
1006	2.1	663	NA	ENDDAY changed to 25.
1006	2.1	666	NA	ENDDAY changed to 25.
1021	2.1	210	NA	ENDDAY changed to 18. HIACT changed to 17 Clash [4].
1021	2.1	850	NA	ENDDAY changed to 18. FATALITY changed to 2 26-100 deaths. HIACT changed to 17 Clash [4].
1025	2.1	145	NA	ENDYEAR changed back to 1927. ENDMON changed to 8.
1025	2.1	150	NA	ENDYEAR changed back to 1927. ENDMON changed to 8.
1026	2.1	145	NA	STMON changed to 10. STDAY changed to 7.
1026	2.1	150	NA	STMON changed to 10. STDAY changed to 7.
1039	2.1	2	NA	STMON changed to 9. STDAY changed to 17. ORIG changed to 0.
1039	2.1	200	0	United Kingdom (200) dropped from MID#1039.
1039	2.1	645	NA	STMON changed to 9. STDAY changed to 2. ORIG changed to 1.
1039	2.1	652	NA	STMON changed to 9. STDAY changed to 17. ORIG changed to 0.
1039	2.1	663	NA	STMON changed to 9. STDAY changed to 2.
1039	2.1	666	0	Israel (666) dropped from MID#1039.
1051	2.1	660	NA	STDAY changed to 6. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
1051	2.1	666	NA	STDAY changed to 6. FATALITY changed to 0 None. FATALPRE changed to 0.
1061	2.1	651	NA	ENDMON changed to 1. ENDDAY changed to 12.
1061	2.1	660	NA	ENDYEAR changed back to 1975. ENDMON changed back to 12. ENDDAY changed to 2.
1061	2.1	666	NA	ENDMON changed to 1. ENDDAY changed to 12.
1062	2.1	325	NA	HIACT changed to 11 Fortify border [3].
1062	2.1	345	NA	HIACT changed to 8 Alert [3].
1067	2.1	0	652	Syria (652) added to MID#1067. ORIG changed to 0.
1067	2.1	0	645	Iraq (645) added to MID#1067. ORIG changed to 0.
1067	2.1	0	670	Saudi Arabia (670) added to MID#1067. ORIG changed to 0.
1070	2.1	0	920	New Zealand (920) added to MID#1070.
1072	2.1	820	NA	HIACT changed to 10 Mobilization [3].
1099	2.1	155	NA	STMON changed back to 4. STDAY changed back to -9.
1099	2.1	160	NA	STMON changed back to 4. STDAY changed back to -9.
1106	2.1	0	630	Iran (630) added to MID#1106. HIACT changed to 16 Attack [4].
1106	2.1	680	NA	STMON changed to 10. STDAY changed to 17. HIACT changed to 16 Attack [4].
1106	2.1	698	NA	STMON changed to 10. STDAY changed to 17. HIACT changed to 16 Attack [4].
1108	2.1	2	NA	United States of America (2) restored to MID#1108. STYEAR changed to 1963. STMON changed to 3. STDAY changed to -9. HIACT changed to 1 Threat to use force [2]. HOSTLEV changed to 2 Threat to use force.
1108	2.1	651	NA	ENDMON changed to 3. ENDDAY changed to 3.
1108	2.1	663	NA	ENDMON changed to 2. ENDDAY changed to 3.
1108	2.1	670	NA	ENDMON changed to 3. ENDDAY changed to 3.
1108	2.1	678	NA	ENDMON changed to 1. ENDDAY changed to 4.
1110	2.1	670	NA	ENDMON changed to 11. ENDDAY changed to 30.
1110	2.1	680	NA	ENDMON changed to 11. ENDDAY changed to 30.
1117	2.1	230	NA	HIACT changed to 16 Attack [4].
1117	2.1	600	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
