dispnum	version	ccode	corr.ccode	change
1350	2.1	812	NA	STDAY changed to -9. ENDDAY changed to 7.
1350	2.1	816	NA	STDAY changed to -9. ENDDAY changed to 7.
1351	2.1	452	0	Ghana (452) dropped from MID#1351.
1352	2.1	437	NA	STDAY changed to 19.
1352	2.1	438	NA	STDAY changed to 19.
1353	2.1	812	NA	FATALITY changed to 6 > 999 deaths.
1353	2.1	816	NA	FATALITY changed to 3 101-250 deaths.
1360	2.1	811	NA	ENDDAY changed to 15. FATALITY changed to 2 26-100 deaths. FATALPRE changed to -9.
1360	2.1	816	NA	ENDDAY changed to 15. FATALITY changed to 3 101-250 deaths. FATALPRE changed to -9.
1363	2.1	2	NA	ENDDAY changed to 2.
1363	2.1	800	NA	ENDMON changed to 5. ENDDAY changed to 3.
1363	2.1	812	NA	ENDMON changed to 5. ENDDAY changed to 3.
1363	2.1	816	NA	ENDMON changed to 5. ENDDAY changed to 3.
1368	2.1	500	NA	HIACT changed to 16 Attack [4].
1368	2.1	501	NA	HIACT changed to 13 Blockade [4].
1369	2.1	770	NA	STDAY changed to 21. ENDDAY changed to 21.
1369	2.1	775	NA	STDAY changed to 21. ENDDAY changed to 21.
1374	2.1	713	NA	ENDMON changed to 3. ENDDAY changed to 2.
1374	2.1	775	NA	ENDMON changed to 3. ENDDAY changed to 2.
1377	2.1	500	NA	STDAY changed to 4. ENDDAY changed to 4.
1377	2.1	666	NA	STDAY changed to 4. ENDDAY changed to 4.
1378	2.1	501	NA	STDAY changed to -9. ORIG changed to 0.
1378	2.1	520	NA	STMON changed to 2. STDAY changed to -9.
1378	2.1	530	NA	STMON changed to 2. STDAY changed to -9.
1379	2.1	2	NA	STMON changed to 6. STDAY changed to 1. ENDYEAR changed to 1970. ENDMON changed to 10. ENDDAY changed to 12.
1379	2.1	731	NA	STMON changed to 6. STDAY changed to 1. ENDDAY changed to 17.
1379	2.1	732	NA	STMON changed to 6. STDAY changed to 1. ENDDAY changed to 17.
1381	2.1	500	NA	HIACT changed to 17 Clash [4].
1381	2.1	510	NA	HIACT changed to 17 Clash [4].
1382	2.1	500	NA	STDAY changed to 13.
1382	2.1	510	NA	STDAY changed to 13.
1382	2.1	551	NA	STDAY changed to -9. ORIG changed to 0.
1382	2.1	625	NA	STMON changed to 11. STDAY changed to 25. ENDMON changed to 11. ENDDAY changed to 25. ORIG changed to 0.
1387	2.1	235	NA	STDAY changed to 16. ENDDAY changed to 21.
1387	2.1	433	NA	STDAY changed to 16. ENDDAY changed to 21.
1389	2.1	235	NA	STDAY changed to 21. ENDDAY changed to 21.
1389	2.1	433	NA	STDAY changed to 21. ENDDAY changed to 21.
1390	2.1	0	552	STYEAR changed to 1973. STMON changed to 1. STDAY changed to 9. HIACT changed to 13 Blockade [4].
1390	2.1	0	560	South Africa (560) added to MID#1390.
1390	2.1	235	NA	HIACT changed to 15 Seizure [4].
1390	2.1	551	NA	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
1391	2.1	235	NA	STDAY changed to 8.
1391	2.1	551	NA	STDAY changed to 8.
1392	2.1	235	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
1401	2.1	551	NA	STMON changed to 11. STDAY changed to 4. SIDEA changed to 0.
1401	2.1	552	NA	STMON changed to 11. STDAY changed to 4. SIDEA changed to 1.
1404	2.1	500	NA	ENDDAY changed to 15.
1404	2.1	625	NA	ENDDAY changed to 15. HIACT changed to 14 Occupation of territory [4]. HOSTLEV changed to 4 Use of force.
1407	2.1	434	NA	STDAY changed to 27. ENDMON changed to 3. ENDDAY changed to -9.
1407	2.1	436	NA	STDAY changed to 27. ENDMON changed to 3. ENDDAY changed to -9.
1419	2.1	452	NA	ENDMON changed to 5. ENDDAY changed to 29.
1419	2.1	461	NA	ENDMON changed to 5. ENDDAY changed to 29.
1422	2.1	530	NA	STMON changed to 6. STDAY changed to 4. ENDDAY changed to 4.
1422	2.1	625	NA	STMON changed to 6. STDAY changed to 4. ENDDAY changed to 4.
1426	2.1	0	200	ENDDAY changed to 2.
1426	2.1	501	NA	ENDYEAR changed back to 1964. ENDDAY changed back to 30.
1426	2.1	520	NA	ENDYEAR changed back to 1964. ENDDAY changed back to 30.
1428	2.1	520	NA	STDAY changed to -9.
1428	2.1	530	NA	STDAY changed to -9.
1435	2.1	811	NA	STMON changed to 5. STDAY changed to -9.
1435	2.1	816	NA	STMON changed to 5. STDAY changed to -9.
1441	2.1	0	541	Mozambique (541) added to MID#1441.
1441	2.1	40	NA	STMON changed to 10. STDAY changed back to -9. ORIG changed to 0.
1441	2.1	490	NA	STYEAR changed to 1977. STMON changed to 3. STDAY changed to 8.
1441	2.1	540	NA	STMON changed to 8. STDAY changed to 22. ORIG changed to 1.
1441	2.1	560	NA	STMON changed back to 8. STDAY changed to 22.
1447	2.1	750	NA	ENDYEAR changed to 1972. ENDMON changed to 7. ENDDAY changed to 3.
1447	2.1	770	NA	ENDYEAR changed to 1972. ENDMON changed to 7. ENDDAY changed to 3.
1448	2.1	290	NA	STMON changed to 5. STDAY changed to -9. ORIG changed to 1.
1448	2.1	365	0	Russia (365) dropped from MID#1448. ORIG changed to 0.
1448	2.1	713	NA	STDAY changed to -9.
1450	2.1	235	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
1450	2.1	850	NA	HIACT changed to 16 Attack [4].
1466	2.1	710	NA	ORIG changed to .
1466	2.1	750	NA	STMON changed to 3. STDAY changed to 28.
1466	2.1	790	NA	STMON changed to 3. STDAY changed to 28.
1469	2.1	750	NA	ENDDAY changed to 20.
1469	2.1	771	NA	ENDDAY changed to 20.
1477	2.1	255	NA	STMON changed to 3. STDAY changed to 2. ENDMON changed to 4.
1477	2.1	380	NA	STMON changed to 3. STDAY changed to 2. ENDMON changed to 4.
1480	2.1	651	NA	STDAY changed to 29.
1480	2.1	666	NA	STDAY changed to 29.
1502	2.1	145	NA	STMON changed to 1. STDAY changed to 25.
1502	2.1	155	NA	STMON changed to 1. STDAY changed to 25.
1503	2.1	135	NA	ENDMON changed to 8. ENDDAY changed to -9.
1503	2.1	155	NA	ENDMON changed to 8. ENDDAY changed to -9.
1508	2.1	155	NA	STMON changed to 4. STDAY changed to -9. ENDMON changed to 11. ENDDAY changed to 25.
1508	2.1	160	NA	STMON changed to 4. STDAY changed to -9. ENDMON changed to 11. ENDDAY changed to 25.
1510	2.1	155	NA	ENDMON changed to 12. ENDDAY changed to 6.
1510	2.1	160	NA	ENDMON changed to 12. ENDDAY changed to 6.
1511	2.1	155	NA	ENDMON changed to 11. ENDDAY changed to -9.
1511	2.1	160	NA	ENDMON changed to 11. ENDDAY changed to -9.
1513	2.1	155	NA	ENDMON changed to 11. ENDDAY changed to 2.
1513	2.1	160	NA	ENDMON changed to 11. ENDDAY changed to 2.
1524	2.1	2	NA	STMON changed to 8. STDAY changed to 4. ENDDAY changed to 4.
1524	2.1	100	NA	STMON changed to 8. STDAY changed to 4. ENDDAY changed to 4.
1526	2.1	140	NA	SIDEA changed to 1.
1526	2.1	160	NA	SIDEA changed to 0.
1527	2.1	140	NA	ENDMON changed to 11. ENDDAY changed to 19.
1527	2.1	160	NA	ENDMON changed to 11. ENDDAY changed to 19.
1533	2.1	90	NA	STMON changed to 1. STDAY changed to -9. ENDMON changed to 5. ENDDAY changed to 8.
1533	2.1	92	NA	STMON changed to 1. STDAY changed to -9. ENDMON changed to 5. ENDDAY changed to 8.
1534	2.1	90	NA	ENDDAY changed to 26.
1534	2.1	92	NA	ENDDAY changed to 26.
1540	2.1	230	NA	ENDMON changed to 5. ENDDAY changed to 18.
1540	2.1	235	NA	ENDMON changed to 5. ENDDAY changed to 18.
1541	2.1	2	NA	ENDMON changed to 10. ENDDAY changed to 11.
1541	2.1	70	NA	ENDMON changed to 10. ENDDAY changed to 11.
1542	2.1	2	NA	ENDDAY changed to 23.
1542	2.1	70	NA	ENDDAY changed to 23.
1545	2.1	2	NA	STMON changed to 3. STDAY changed to 26. ENDMON changed to 6.
1545	2.1	70	NA	STMON changed to 3. STDAY changed to 26. ENDMON changed to 6.
1547	2.1	2	NA	STDAY changed to 8.
1547	2.1	70	NA	STDAY changed to 8.
1548	2.1	2	NA	STDAY changed to 19.
1548	2.1	70	NA	STDAY changed to 19.
1549	2.1	2	NA	STDAY changed to 6.
1549	2.1	70	NA	STDAY changed to 6.
1550	2.1	2	NA	STDAY changed to 1.
1550	2.1	70	NA	STDAY changed to 1.
1551	2.1	2	NA	ENDYEAR changed to 1850. ENDMON changed to 11. ENDDAY changed to -9.
1551	2.1	70	NA	ENDYEAR changed to 1850. ENDMON changed to 11. ENDDAY changed to -9.
1556	2.1	2	NA	STMON changed to 5.
1556	2.1	70	NA	STMON changed to 5.
1567	2.1	2	NA	ENDDAY changed to 29.
1567	2.1	230	NA	ENDDAY changed to 29.
1574	2.1	350	NA	STYEAR changed to 1878.
1574	2.1	640	NA	STYEAR changed to 1878.
1575	2.1	350	NA	ENDMON changed to 1. ENDDAY changed to 20.
1575	2.1	640	NA	ENDMON changed to 1.
1576	2.1	350	NA	STDAY changed to 24. ENDDAY changed to 24.
1576	2.1	640	NA	STDAY changed to 24. ENDDAY changed to 24.
1586	2.1	150	NA	STYEAR changed back to 1846. STMON changed back to 1. STDAY changed back to 1.
1586	2.1	160	NA	STYEAR changed back to 1846. STMON changed back to 1. STDAY changed back to 1.
1597	2.1	100	NA	STMON changed to 10.
1597	2.1	135	NA	STMON changed to 10.
1598	2.1	100	NA	STMON changed to 4. ENDDAY changed to -9.
1598	2.1	135	NA	STMON changed to 4. ENDDAY changed to -9.
1601	2.1	145	NA	ENDMON changed to 6. ENDDAY changed to 23.
1601	2.1	150	NA	ENDMON changed to 6. ENDDAY changed to 23.
1603	2.1	652	NA	STDAY changed to 10. ENDMON changed to 6. ENDDAY changed to 2.
1603	2.1	660	NA	STDAY changed to 10. ENDMON changed to 6. ENDDAY changed to 2.
1605	2.1	800	NA	ENDMON changed to 5. ENDDAY changed to -9.
1605	2.1	811	NA	ENDMON changed to 5. ENDDAY changed to -9.
1609	2.1	155	NA	HIACT changed to 15 Seizure [4]. HOSTLEV changed to 4 Use of force.
1609	2.1	160	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
1610	2.1	800	NA	STMON changed to 2. STDAY changed to 24. ENDDAY changed to 13. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 4. HIACT changed to 17 Clash [4].
1610	2.1	811	NA	STMON changed to 2. STDAY changed to 24. ENDDAY changed to 13. HIACT changed to 17 Clash [4].
1613	2.1	645	NA	ENDDAY changed to 25.
1613	2.1	690	NA	ENDDAY changed to 25.
1614	2.1	93	NA	STDAY changed to 19. ENDDAY changed to 19.
1614	2.1	310	NA	STDAY changed to 19. ENDDAY changed to 19.
1614	2.1	355	NA	STDAY changed to 19. ENDDAY changed to 19.
1614	2.1	360	NA	STDAY changed to 19. ENDDAY changed to 19.
1622	2.1	140	NA	ENDMON changed to 11. ENDDAY changed to 22.
1622	2.1	200	NA	ENDMON changed to 11. ENDDAY changed to 22.
1627	2.1	140	NA	STDAY changed to 9. ENDDAY changed to 11.
1627	2.1	200	NA	STDAY changed to 9. ENDDAY changed to 11.
1632	2.1	41	NA	STDAY changed to 15. ENDDAY changed to 16.
1632	2.1	255	NA	STDAY changed to 15. ENDDAY changed to 16.
1633	2.1	155	NA	STMON changed to 1. STDAY changed to -9. ENDMON changed to 4. ENDDAY changed to 27.
1633	2.1	160	220	STMON changed to 1. STDAY changed to -9. ENDMON changed to 4. ENDDAY changed to 27.
1642	2.1	200	NA	ENDYEAR changed to 1890. ENDMON changed to 10. ENDDAY changed to 14. HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
1642	2.1	325	NA	ENDYEAR changed to 1890. ENDMON changed to 10. ENDDAY changed to 14.
1643	2.1	155	NA	STMON changed to 1. STDAY changed to -9. ENDMON changed to 2. ENDDAY changed to 4.
1643	2.1	200	NA	STMON changed to 1. STDAY changed to -9. ENDMON changed to 2. ENDDAY changed to 4.
1643	2.1	220	NA	STMON changed to 1. STDAY changed to 22. ENDMON changed to 2. ENDDAY changed to 4. ORIG changed to 0.
1647	2.1	140	NA	STYEAR changed to 1895. STMON changed to 5. STDAY changed to 15. ENDMON changed to 3. ENDDAY changed to 16.
1647	2.1	220	NA	STYEAR changed to 1895. STMON changed to 5. STDAY changed to 15. ENDMON changed to 3. ENDDAY changed to 16.
1648	2.1	41	NA	STYEAR changed to 1897. STMON changed to 9. STDAY changed to 21. ENDYEAR changed to 1897.
1648	2.1	255	NA	STYEAR changed to 1897. STMON changed to 9. STDAY changed to 21. ENDYEAR changed to 1897.
1653	2.1	2	NA	ENDMON changed to 3. ENDDAY changed to 7.
1653	2.1	70	NA	ENDMON changed to 3. ENDDAY changed to 7.
1656	2.1	255	NA	ENDMON changed to 10. ENDDAY changed to 13.
1656	2.1	385	NA	ENDMON changed to 10. ENDDAY changed to 13.
1661	2.1	210	NA	ENDDAY changed to 29.
1661	2.1	255	NA	ENDDAY changed to 29.
1670	2.1	220	NA	STYEAR changed to 1926. STMON changed to 4. ENDMON changed to 7. ENDDAY changed to -9.
1670	2.1	325	NA	STYEAR changed to 1926. STMON changed to 4. ENDMON changed to 7. ENDDAY changed to -9.
1671	2.1	220	NA	STMON changed to 9. STDAY changed to 11. ENDMON changed to 7. ENDDAY changed to 3. SIDEA changed to 0.
1671	2.1	325	NA	STMON changed to 9. STDAY changed to 11. ENDMON changed to 7. ENDDAY changed to 3. SIDEA changed to 1.
1674	2.1	365	NA	STDAY changed to 28.
1674	2.1	710	NA	STDAY changed to 28.
1685	2.1	290	NA	ENDDAY changed to 21.
1685	2.1	366	NA	ENDDAY changed to 21.
1693	2.1	160	NA	STDAY changed to 22.
1693	2.1	255	NA	STDAY changed to 22.
1695	2.1	255	NA	STMON changed back to 2. STDAY changed back to -9. ENDMON changed to 9. ENDDAY changed to 20.
1695	2.1	310	NA	STMON changed back to 2. STDAY changed back to -9. ENDMON changed to 9. ENDDAY changed to 20.
1701	2.1	365	NA	ENDMON changed to 6. ENDDAY changed to 17.
1701	2.1	380	NA	ENDMON changed to 6. ENDDAY changed to 17.
1703	2.1	310	NA	STMON changed to 7. STDAY changed to 2.
1703	2.1	345	NA	STMON changed to 7. STDAY changed to 2.
1703	2.1	355	NA	STDAY changed to -9.
1703	2.1	360	NA	STMON changed to 9. STDAY changed to -9.
1707	2.1	710	NA	HIACT changed to 17 Clash [4].
1707	2.1	750	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 3. HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
1709	2.1	732	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
1710	2.1	732	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
1739	2.1	350	NA	STMON changed to 9. ENDMON changed to 9. ENDDAY changed to 20.
1739	2.1	640	NA	STMON changed to 9. ENDMON changed to 9. ENDDAY changed to 20.
1743	2.1	220	NA	STDAY changed to 27. ENDMON changed to 10. ENDDAY changed to 23.
1743	2.1	235	NA	STDAY changed to 27. ENDMON changed to 10. ENDDAY changed to 23.
1746	2.1	220	NA	STDAY changed to 27. ENDDAY changed to 27.
1746	2.1	600	NA	STDAY changed to 27. ENDDAY changed to 27.
1750	2.1	200	NA	STDAY changed to 24.
1750	2.1	640	NA	STDAY changed to 24.
1755	2.1	2	NA	STMON changed to 6.
1755	2.1	135	NA	STMON changed to 6.
1764	2.1	100	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
1764	2.1	325	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
1774	2.1	380	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
1775	2.1	2	NA	ENDDAY changed to 30.
1775	2.1	70	NA	ENDDAY changed to 30.
1777	2.1	710	NA	STMON changed to 12.
1777	2.1	740	NA	STMON changed to 12.
1788	2.1	225	NA	STDAY changed to 12.
1788	2.1	255	NA	STDAY changed to 12.
1790	2.1	255	NA	SIDEA changed to 0.
1790	2.1	310	NA	SIDEA changed to 1.
1797	2.1	710	NA	STDAY changed to -9. HIACT changed to 16 Attack [4].
1797	2.1	790	NA	STDAY changed to -9. HIACT changed to 11 Fortify border [3]. HOSTLEV changed to 3 Display of force.
1800	2.1	2	NA	ENDMON changed to 9.
1801	2.1	2	NA	HIACT changed to 8 Alert [3].
1804	2.1	200	NA	ENDYEAR changed to 1965. ENDMON changed to 12. ENDDAY changed to 3.
1804	2.1	551	NA	ENDYEAR changed to 1965. ENDMON changed to 12. ENDDAY changed to 3. HIACT changed to 8 Alert [3]. HOSTLEV changed to 3 Display of force.
1804	2.1	552	NA	ENDYEAR changed to 1965. ENDMON changed to 12. ENDDAY changed to 3.
1805	2.1	2	NA	STDAY changed to 7. ENDDAY changed to 18.
1805	2.1	130	NA	STDAY changed to 7. ENDDAY changed to 18.
1806	2.1	2	NA	STDAY changed to 3. ENDMON changed to 6. ENDDAY changed to 11.
1806	2.1	710	NA	STDAY changed to 3.
1806	2.1	811	NA	ENDMON changed to 6. ENDDAY changed to 11. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 4.
1806	2.1	817	NA	ENDYEAR changed to 1969. ENDMON changed to 3. ENDDAY changed to 11. FATALITY changed to 1 1-25 deaths.
2001	2.1	713	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action. SIDEA changed to 0.
2001	2.1	775	NA	HIACT changed to 16 Attack [4]. SIDEA changed to 1.
2006	2.1	2	NA	STMON changed to 9. STDAY changed to 29.
2006	2.1	713	NA	STMON changed to 9. STDAY changed to 29.
2010	2.1	220	NA	ENDDAY changed to 24.
2010	2.1	710	NA	ENDDAY changed to 24.
2018	2.1	775	NA	STDAY changed to 12.
2018	2.1	800	NA	STDAY changed to 12.
2020	2.1	220	NA	ENDDAY changed to 18.
2020	2.1	800	NA	ENDDAY changed to 18. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
2022	2.1	220	NA	STDAY changed to 14.
2022	2.1	800	NA	STDAY changed to 14.
2023	2.1	775	NA	STYEAR changed to 1953. STMON changed to 10. STDAY changed to -9. ENDMON changed to 3. ENDDAY changed to 27.
2023	2.1	800	NA	STYEAR changed to 1953. STMON changed to 10. STDAY changed to -9. ENDMON changed to 3. ENDDAY changed to 27.
2024	2.1	775	NA	STDAY changed to 2. ENDDAY changed to 2.
2024	2.1	800	NA	STDAY changed to 2. ENDDAY changed to 2.
2025	2.1	750	NA	STDAY changed to 18. ENDDAY changed to 18.
2025	2.1	775	NA	STDAY changed to 18. ENDDAY changed to 18.
2029	2.1	812	NA	STDAY changed to 30. ENDYEAR changed to 1960. ENDMON changed to 12. ENDDAY changed to 30.
2029	2.1	816	NA	STDAY changed to 30. ENDYEAR changed to 1960. ENDMON changed to 12. ENDDAY changed to 30.
2030	2.1	800	NA	STDAY changed to -9. HIACT changed to 16 Attack [4].
2030	2.1	812	NA	STDAY changed to -9.
2032	2.1	2	NA	STDAY changed to 10. ENDDAY changed to 10.
2032	2.1	710	NA	STDAY changed to 10. ENDDAY changed to 10.
2033	2.1	2	NA	ENDDAY changed to 26.
2033	2.1	710	NA	ENDDAY changed to 26.
2036	2.1	365	NA	STYEAR changed to 1954. ENDYEAR changed to 1954. ENDDAY changed to 26.
2036	2.1	713	NA	STYEAR changed to 1954. ENDYEAR changed to 1954. ENDDAY changed to 26.
2038	2.1	200	NA	STDAY changed to 16. ENDDAY changed to 18.
2038	2.1	710	NA	STDAY changed to 16. ENDDAY changed to 18.
2044	2.1	140	NA	ENDYEAR changed to 1876. ENDMON changed to 2. ENDDAY changed to 3.
2044	2.1	160	NA	ENDYEAR changed to 1876. ENDMON changed to 2. ENDDAY changed to 3.
2045	2.1	92	NA	STDAY changed to 16.
2045	2.1	325	NA	STDAY changed to 16.
2049	2.1	2	NA	ENDDAY changed to 12.
2049	2.1	710	NA	ENDDAY changed to 12. HIACT changed to 16 Attack [4].
2049	2.1	713	NA	ENDDAY changed to 12. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
2052	2.1	2	NA	STMON changed to 11. STDAY changed to -9. ENDMON changed to 6. ENDDAY changed to 8. ORIG changed to 0.
2052	2.1	710	NA	STMON changed to 1. STDAY changed to 27. ENDDAY changed to 11.
2052	2.1	713	NA	STMON changed to 1. STDAY changed to 27. ENDDAY changed to 11.
2053	2.1	365	NA	STYEAR changed to 1979. STMON changed to 12. STDAY changed to 30. ENDDAY changed to -9.
2053	2.1	700	NA	ENDMON changed to 1. ENDDAY changed to 29.
2053	2.1	770	NA	ENDMON changed to 1. ENDDAY changed to 29.
2054	2.1	365	NA	STMON changed to 1. STDAY changed to -9. ENDMON changed to 5. ENDDAY changed to 30.
2054	2.1	700	NA	ENDDAY changed to 11.
2054	2.1	770	NA	ENDDAY changed to 11.
2066	2.1	520	NA	STDAY changed to 11. ENDDAY changed to 11.
2066	2.1	530	NA	STDAY changed to 11. ENDDAY changed to 11.
2068	2.1	520	NA	STMON changed to 5.
2068	2.1	530	NA	STMON changed to 5.
2069	2.1	40	NA	ENDDAY changed to 9.
2069	2.1	520	NA	ENDDAY changed to 9.
2069	2.1	530	NA	ENDDAY changed to 9.
2070	2.1	520	NA	STMON changed to 3. STDAY changed to 31. ENDDAY changed to -9.
2070	2.1	530	NA	STMON changed to 3. STDAY changed to 31. ENDDAY changed to -9.
2071	2.1	520	NA	FATALITY changed to 6 > 999 deaths.
2071	2.1	530	NA	FATALITY changed to 3 101-250 deaths.
2072	2.1	520	NA	STMON changed to 7. STDAY changed to -9. ENDYEAR changed to 1984. ENDMON changed to 1. ENDDAY changed to 30.
2072	2.1	530	NA	STMON changed to 7. STDAY changed to -9. ENDYEAR changed to 1984. ENDMON changed to 1. ENDDAY changed to 30. FATALITY changed to 6 > 999 deaths.
2075	2.1	520	NA	STDAY changed to 16. ENDDAY changed to 20.
2075	2.1	530	NA	STDAY changed to 16. ENDDAY changed to 20.
2079	2.1	155	NA	STMON changed to 8. STDAY changed to 11. ENDYEAR changed to 1959.
2079	2.1	160	NA	STMON changed to 8. STDAY changed to 11. ENDYEAR changed to 1959.
2088	2.1	710	NA	STDAY changed to 20. ENDDAY changed back to 20.
2088	2.1	750	NA	STDAY changed to 20. ENDDAY changed back to 20.
2095	2.1	710	NA	STDAY changed to 6.
2095	2.1	750	NA	STDAY changed to 6.
2098	2.1	710	NA	STMON changed to 4. ENDDAY changed to 24.
2098	2.1	750	NA	STMON changed to 4. ENDDAY changed to 24.
2102	2.1	710	NA	STYEAR changed to 1986.
2102	2.1	750	NA	STYEAR changed to 1986.
2106	2.1	630	NA	STDAY changed to 19. HIACT changed to 12 Border violation [3]. HOSTLEV changed to 3 Display of force.
2106	2.1	645	NA	STDAY changed to 19.
2110	2.1	630	NA	STMON changed to 1. STDAY changed to 4.
2110	2.1	645	NA	STMON changed to 1. STDAY changed to 4. FATALPRE changed to 2.
2112	2.1	645	NA	HIACT changed to 17 Clash [4].
2113	2.1	630	NA	ENDDAY changed to 14.
2113	2.1	645	NA	ENDDAY changed to 14.
2116	2.1	2	NA	STDAY changed to 19.
2116	2.1	70	NA	STDAY changed to 19.
2121	2.1	130	NA	ENDDAY changed to 14.
2121	2.1	135	NA	ENDDAY changed to 14.
2129	2.1	145	NA	STMON changed to 4. ENDMON changed to 4.
2129	2.1	150	NA	STMON changed to 4. ENDMON changed to 4.
2136	2.1	200	NA	ENDDAY changed to 16.
2136	2.1	500	NA	ENDDAY changed to 16.
2138	2.1	620	NA	ENDDAY changed to 21.
2138	2.1	625	NA	ENDDAY changed to 21.
2140	2.1	500	NA	STDAY changed to -9.
2140	2.1	510	NA	STDAY changed to -9.
2144	2.1	501	NA	ENDDAY changed to 11.
2144	2.1	510	NA	ENDDAY changed to 11.
2149	2.1	811	NA	STMON changed to 7. STDAY changed to -9.
2149	2.1	812	NA	STMON changed to 7. STDAY changed to -9.
2150	2.1	40	NA	ENDDAY changed to 25.
2150	2.1	220	NA	ENDDAY changed to 25.
2150	2.1	484	0	ENDDAY changed to 25.
2150	2.1	490	NA	ENDDAY changed to 25.
2150	2.1	500	NA	ENDDAY changed to 25.
2150	2.1	540	NA	ENDDAY changed to 25.
2150	2.1	600	NA	ENDDAY changed to 20.
2150	2.1	651	NA	ENDDAY changed to 25.
2163	2.1	352	NA	STYEAR changed to 1978. ENDYEAR changed to 1978.
2163	2.1	651	NA	STYEAR changed to 1978. ENDYEAR changed to 1978.
2170	2.1	220	NA	ENDMON changed to 12. ENDDAY changed to 24.
2170	2.1	255	NA	ENDMON changed to 12. ENDDAY changed to 24.
2171	2.1	352	NA	STDAY changed to 15.
2171	2.1	640	NA	STDAY changed to 15.
2174	2.1	350	NA	STMON changed to 10. STDAY changed to 31.
2174	2.1	640	NA	STMON changed to 10. STDAY changed to 31.
2176	2.1	2	NA	ENDMON changed to 5. ENDDAY changed to 20.
2176	2.1	350	NA	ENDDAY changed to 9.
2176	2.1	640	NA	ENDDAY changed to 9.
2177	2.1	350	NA	FATALPRE changed to 0.
2177	2.1	640	NA	FATALPRE changed to 0.
2179	2.1	350	NA	STDAY changed to 24. FATALPRE changed to 1.
2179	2.1	640	NA	STDAY changed to 24. FATALPRE changed to 2.
2181	2.1	700	NA	HIACT changed to 17 Clash [4].
2181	2.1	770	NA	HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
2184	2.1	2	NA	STDAY changed to 28. ENDDAY changed to 10.
2184	2.1	70	NA	STDAY changed to 28. ENDDAY changed to 10.
2185	2.1	2	NA	STDAY changed to 15.
2185	2.1	70	NA	STDAY changed to 15.
2186	2.1	731	NA	STDAY changed to 4. ENDDAY changed to 19.
2186	2.1	732	NA	STDAY changed to 4. ENDDAY changed to 19.
2187	2.1	2	NA	ENDMON changed to 9. ENDDAY changed to 16. ORIG changed to 0.
2187	2.1	731	NA	STMON changed to 2. STDAY changed to 16. ENDMON changed to 9. ENDDAY changed to 16.
2187	2.1	732	NA	STMON changed to 2. STDAY changed to 16. ENDMON changed to 9. ENDDAY changed to 16.
2191	2.1	731	NA	FATALPRE changed to 5.
2191	2.1	732	NA	FATALITY changed to 0 None. FATALPRE changed to 0.
2193	2.1	732	NA	FATALPRE changed to 1.
2195	2.1	731	NA	ENDDAY changed to 12.
2195	2.1	732	NA	ENDDAY changed to 12.
2196	2.1	2	NA	ENDMON changed to 4. ENDDAY changed to -9.
2196	2.1	731	NA	ENDMON changed to 10. ENDDAY changed to 20.
2196	2.1	732	NA	ENDMON changed to 10. ENDDAY changed to 20.
2201	2.1	710	NA	ENDMON changed to 10. ENDDAY changed to 31.
2201	2.1	740	NA	ENDMON changed to 10. ENDDAY changed to 31.
2203	2.1	710	NA	STMON changed to 8. ENDDAY changed to -9.
2203	2.1	740	NA	STMON changed to 8. ENDDAY changed to -9.
2215	2.1	2	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
2222	2.1	2	NA	ENDMON changed to 5. ENDDAY changed to 5.
2222	2.1	365	NA	ENDMON changed to 5. ENDDAY changed to 5.
2225	2.1	2	NA	STDAY changed to 30.
2225	2.1	40	NA	STMON changed to 10. STDAY changed to 17.
2225	2.1	365	NA	STDAY changed to 30.
2229	2.1	2	NA	ENDDAY changed to 19.
2229	2.1	365	NA	ENDDAY changed to 19.
2229	2.1	740	NA	ENDDAY changed to 19.
2234	2.1	2	NA	ENDDAY changed to 19.
2234	2.1	41	NA	ENDDAY changed to 19.
