"dispnum3","incidnum3","stday","stmon","styear","endday","endmon","endyear","duration","tbi","fatality","fatalpre","action","hostlev","numa","revtype1","revtype2","version"
4533,4533019,18,11,2007,18,11,2007,1,64,0,0,7,3,1,2,0,"gml-2.1"
4533,4533022,21,1,2008,21,1,2008,1,0,0,0,7,3,1,2,0,"gml-2.1"
4533,4533023,21,1,2008,21,1,2008,1,13,0,0,16,4,1,2,0,"gml-2.1"
4533,4533024,3,2,2008,3,2,2008,1,33,0,0,16,4,1,2,0,"gml-2.1"
4533,4533025,7,3,2008,7,3,2008,1,11,0,0,7,3,1,2,0,"gml-2.1"
4533,4533026,18,3,2008,18,3,2008,1,26,0,0,7,3,1,2,0,"gml-2.1"
4533,4533027,13,4,2008,13,4,2008,1,15,0,0,12,3,1,2,0,"gml-2.1"
4533,4533028,28,4,2008,28,4,2008,1,76,0,0,7,3,1,2,0,"gml-2.1"
4533,4533030,13,7,2008,13,7,2008,1,56,0,0,7,3,1,2,0,"gml-2.1"
4533,4533031,7,9,2008,7,9,2008,1,33,0,0,7,3,1,2,0,"gml-2.1"
4533,4533032,10,10,2008,10,10,2008,1,70,0,0,12,3,1,2,0,"gml-2.1"
4533,4533033,19,12,2008,22,12,2008,4,6,0,0,15,4,1,2,0,"gml-2.1"
4533,4533034,28,12,2008,28,12,2008,1,11,0,0,7,3,1,2,0,"gml-2.1"
4533,4533035,8,1,2009,8,1,2009,1,0,0,0,7,3,1,2,0,"gml-2.1"
4533,4533036,8,1,2009,8,1,2009,1,49,0,0,16,4,1,2,0,"gml-2.1"
4533,4533037,26,2,2009,26,2,2009,1,5,0,0,7,3,1,2,0,"gml-2.1"
4533,4533038,3,3,2009,3,3,2009,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4534,4534001,8,9,2006,11,9,2006,4,-3,0,0,15,4,1,0,0,"gml-2.1"
4534,4534002,8,9,2006,8,9,2006,1,-9,0,0,12,3,1,0,0,"gml-2.1"
4535,4535001,11,1,2007,14,1,2007,4,72,0,0,15,4,1,2,0,"gml-2.1"
4535,4535002,27,3,2007,28,3,2007,2,4,0,0,7,3,1,2,0,"gml-2.1"
4535,4535003,1,4,2007,1,4,2007,1,-9,0,0,7,3,1,2,0,"gml-2.1"
4536,4536001,20,1,2007,20,1,2007,1,39,0,0,11,3,1,2,0,"gml-2.1"
4536,4536002,28,2,2007,28,2,2007,1,84,0,0,1,2,1,2,0,"gml-2.1"
4536,4536003,23,5,2007,23,5,2007,1,90,0,0,16,4,1,2,0,"gml-2.1"
4536,4536004,21,8,2007,4,9,2007,15,22,0,0,16,4,1,2,0,"gml-2.1"
4536,4536005,26,9,2007,29,9,2007,4,166,0,0,16,4,1,2,0,"gml-2.1"
4536,4536006,13,3,2008,22,3,2008,10,54,0,0,16,4,1,2,0,"gml-2.1"
4536,4536007,15,5,2008,20,5,2008,6,6,0,0,16,4,1,2,0,"gml-2.1"
4536,4536008,26,5,2008,26,5,2008,1,19,1125,1,16,4,1,2,0,"gml-2.1"
4536,4536009,14,6,2008,19,6,2008,6,20,0,0,16,4,1,2,0,"gml-2.1"
4536,4536010,9,7,2008,9,7,2008,1,8,0,0,16,4,1,2,0,"gml-2.1"
4536,4536011,17,7,2008,17,7,2008,1,30,0,0,16,4,1,2,0,"gml-2.1"
4536,4536012,16,8,2008,16,8,2008,1,150,0,0,16,4,1,2,0,"gml-2.1"
4536,4536014,13,1,2009,14,1,2009,2,56,0,0,16,4,1,2,0,"gml-2.1"
4536,4536015,11,3,2009,11,3,2009,1,52,0,0,16,4,1,2,0,"gml-2.1"
4536,4536016,2,5,2009,11,5,2009,10,143,0,0,16,4,1,2,0,"gml-2.1"
4536,4536017,1,10,2009,1,10,2009,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4537,4537001,30,5,2007,30,5,2007,1,4,0,0,11,3,1,2,0,"gml-2.1"
4537,4537002,3,6,2007,3,6,2007,1,5,0,0,16,4,1,2,0,"gml-2.1"
4537,4537003,8,6,2007,8,6,2007,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4537,4537004,-9,7,2007,-9,7,2007,-9,-9,0,0,11,3,1,2,0,"gml-2.1"
4537,4537005,18,7,2007,18,7,2007,1,7,0,0,16,4,1,2,0,"gml-2.1"
